year,event,description
1971,Nixon ends gold standard,The US dollar was decoupled from gold ending the Bretton Woods system. This gave the Fed freedom to control money supply independently. It marked the beginning of the modern era of fiat currency and monetary policy.
1973,Oil embargo,OPEC cut oil supplies to the US triggering fuel shortages and price spikes. Inflation surged and the economy entered recession simultaneously — a new phenomenon called stagflation. The Fed struggled to respond as traditional tools were ineffective against supply-driven inflation.
1979,Volcker shock,Fed Chairman Paul Volcker raised interest rates to nearly 20% to break the back of inflation. The cure worked but caused two recessions and unemployment above 10%. It established the Fed's credibility as an inflation fighter and set the template for modern monetary policy.
1987,Black Monday,On October 19th the stock market fell 22% in a single day — the largest one-day percentage drop in history. The crash was amplified by computerized trading and portfolio insurance strategies. The Fed responded by flooding the system with liquidity preventing a broader economic collapse.
1994,Bond market massacre,The Fed surprised markets with a series of rapid rate hikes causing global bond prices to collapse. Investors who had borrowed heavily to buy bonds faced catastrophic losses. It was the first major demonstration of how quickly Fed policy changes could ripple through global markets.
1997,Asian financial crisis,Currency crises swept through Thailand South Korea and Indonesia as investors fled emerging markets. Contagion spread rapidly as countries with dollar-denominated debt faced impossible repayment burdens. The IMF stepped in with bailouts that came with controversial austerity conditions.
1998,Russian default and LTCM,Russia defaulted on its debt sending shockwaves through global credit markets. Hedge fund Long-Term Capital Management which held massive leveraged positions collapsed requiring a Fed-coordinated bailout. It was the first major warning that financial interconnection could amplify local crises into systemic threats.
1999,Russian default and LTCM,Russia defaulted on its debt sending shockwaves through global credit markets. Hedge fund Long-Term Capital Management which held massive leveraged positions collapsed requiring a Fed-coordinated bailout. It was the first major warning that financial interconnection could amplify local crises into systemic threats.
2000,Dot-com crash,The Nasdaq fell 78% as the technology bubble burst wiping out trillions in paper wealth. Companies with no revenue or profits that had traded at astronomical valuations went bankrupt. It took 15 years for the Nasdaq to recover to its 2000 peak.
2001,Dot-com crash,The Nasdaq fell 78% as the technology bubble burst wiping out trillions in paper wealth. Companies with no revenue or profits that had traded at astronomical valuations went bankrupt. It took 15 years for the Nasdaq to recover to its 2000 peak.
2002,Dot-com crash,The Nasdaq fell 78% as the technology bubble burst wiping out trillions in paper wealth. Companies with no revenue or profits that had traded at astronomical valuations went bankrupt. It took 15 years for the Nasdaq to recover to its 2000 peak.
2004,Rate hike cycle begins,The Fed began raising rates from 1% — the lowest level in 45 years — to combat rising inflation. By 2006 rates had reached 5.25% in one of the most sustained tightening cycles of the modern era. The low rates that preceded this cycle had fueled the housing bubble that would later collapse.
